Article num,Context
Article 1,"Application of UCP: The Uniform Customs and Practice for Documentary Credits, 2007 Revision, ICC Publication no. 600 ('UCP') are rules that apply to any documentary credit ('credit') (including, to the extent to which they may be applicable, any standby letter of credit) when the text of the credit expressly indicates that it is subject to these rules. They are binding on all parties thereto unless expressly modified or excluded by the credit."
Article 10,"Amendments: Except as otherwise provided by article 38, a credit can neither be amended nor cancelled without the agreement of the issuing bank, the confirming bank, if any, and the beneficiary; An issuing bank is irrevocably bound by an amendment as of the time it issues the amendment. A confirming bank may extend its confirmation to an amendment and will be irrevocably bound as of the time it advises the amendment. A confirming bank may, however, choose to advise an amendment without extending its confirmation and, if so, it must inform the issuing bank without delay and inform the beneficiary in its advice; The terms and conditions of the original credit (or a credit incorporating previously accepted amendments) will remain in force for the beneficiary until the beneficiary communicates its acceptance of the amendment to the bank that advised such amendment. The beneficiary should give notification of acceptance or rejection of an amendment. If the beneficiary fails to give such notification, a presentation that complies with the credit and to any not yet accepted amendment will be deemed to be notification of acceptance by the beneficiary of such amendment. As of that moment the credit will be amended; A bank that advises an amendment should inform the bank from which it received the amendment of any notification of acceptance or rejection; Partial acceptance of an amendment is not allowed and will be deemed to be notification of rejection of the amendment; A provision in an amendment to the effect that the amendment shall enter into force unless rejected by the beneficiary within a certain time shall be disregarded."
Article 11,"Teletransmitted and Pre-Advised Credits and Amendments: An authenticated tele-transmission of a credit or amendment will be deemed to be the operative credit or amendment, and any subsequent mail confirmation shall be disregarded. If a tele-transmission states 'full details to follow' (or words of similar effect), or states that the mail confirmation is to be the operative credit or amendment, then the tele-transmission will not be deemed to be the operative credit or amendment. The issuing bank must then issue the operative credit or amendment without delay in terms not inconsistent with the tele-transmission; A preliminary advice of the issuance of a credit or amendment ('pre-advice') shall only be sent if the issuing bank is prepared to issue the operative credit or amendment. An issuing bank that sends a pre- advice is irrevocably committed to issue the operative credit or amendment, without delay, in terms not inconsistent with the pre-advice."
Article 12,"Nomination: Unless a nominated bank is the confirming bank, an authorization to honour or negotiate does not impose any obligation on that nominated bank to honour or negotiate, except when expressly agreed to by that nominated bank and so communicated to the beneficiary; By nominating a bank to accept a draft or incur a deferred payment undertaking, an issuing bank authorizes that nominated bank to prepay or purchase a draft accepted or a deferred payment undertaking incurred by that nominated bank; Receipt or examination and forwarding of documents by a nominated bank that is not a confirming bank does not make that nominated bank liable to honour or negotiate, nor does it constitute honour or negotiation."
Article 13,"Bank-to-Bank Reimbursement Arrangements: If a credit states that reimbursement is to be obtained by a nominated bank ('claiming bank') claiming on another party ('reimbursing bank'), the credit must state if the reimbursement is subject to the ICC rules for bank-to-bank reimbursements in effect on the date of issuance of the credit; If a credit does not state that reimbursement is subject to the ICC rules for bank-to-bank reimbursements, the following apply: i.An issuing bank must provide a reimbursing bank with a reimbursement authorization that conforms with the availability stated in the credit. The reimbursement authorization should not be subject to an expiry date; A claiming bank shall not be required to supply a reimbursing bank with a certificate of compliance with the terms and conditions of the credit; An issuing bank will be responsible for any loss of interest, together with any expenses incurred, if reimbursement is not provided on first demand by a reimbursing bank in accordance with the terms and conditions of the credit; A reimbursing bank's charges are for the account of the issuing bank. However, if the charges are for the account of the beneficiary, it is the responsibility of an issuing bank to so indicate in the credit and in the reimbursement authorization. If a reimbursing bank's charges are for the account of the beneficiary, they shall be deducted from the amount due to a claiming bank when reimbursement is made. If no reimbursement is made, the reimbursing bank's charges remain the obligation of the issuing bank; An issuing bank is not relieved of any of its obligations to provide reimbursement if reimbursement is not made by a reimbursing bank on first demand."
Article 15,"Complying Presentation: When an issuing bank determines that a presentation is complying, it must honour; When a confirming bank determines that a presentation is complying, it must honour or negotiate and forward the documents to the issuing bank; When a nominated bank determines that a presentation is complying and honours or negotiates, it must forward the documents to the confirming bank or issuing bank."
Article 16,"Discrepant Documents, Waiver and Notice: When a nominated bank acting on its nomination, a confirming bank, if any, or the issuing bank determines that a presentation does not comply, it may refuse to honour or negotiate; When an issuing bank determines that a presentation does not comply, it may in its sole judgement approach the applicant for a waiver of the discrepancies. This does not, however, extend the period mentioned in sub-article 14 (b); When a nominated bank acting on its nomination, a confirming bank, if any, or the issuing bank decides to refuse to honour or negotiate, it must give a single notice to that effect to the presenter. The notice must state; that the bank is refusing to honour or negotiate; and each discrepancy in respect of which the bank refuses to honour or negotiate; and a) that the bank is holding the documents pending further instructions from the presenter; or b) that the issuing bank is holding the documents until it receives a waiver from the applicant and agrees to accept it, or receives further instructions from the presenter prior to agreeing to accept a waiver; or c) that the bank is returning the documents; or d) that the bank is acting in accordance with instructions previously received from the presenter; The notice required in sub-article 16 (c) must be given by telecommunication or, if that is not possible, by other expeditious means no later than the close of the fifth banking day following the day of presentation; A nominated bank acting on its nomination, a confirming bank, if any, or the issuing bank may, after providing notice required by sub-article 16 (c) (iii) (a) or (b), return the documents to the presenter at any time; If an issuing bank or a confirming bank fails to act in accordance with the provisions of this article, it shall be precluded from claiming that the documents do not constitute a complying presentation; When an issuing bank refuses to honour or a confirming bank refuses to honour or negotiate and has given notice to that effect in accordance with this article, it shall then be entitled to claim a refund, with interest, of any reimbursement made."
Article 17,"Original Documents and Copies: At least one original of each document stipulated in the credit must be presented; A bank shall treat as an original any document bearing an apparently original signature, mark, stamp, or label of the issuer of the document, unless the document itself indicates that it is not an original; Unless a document indicates otherwise, a bank will also accept a document as original if it; appears to be written, typed, perforated or stamped by the document issuer's hand; or appears to be on the document issuer's original stationery; or states that it is original, unless the statement appears not to apply to the document presented; If a credit requires presentation of copies of documents, presentation of either originals or copies is permitted; If a credit requires presentation of multiple documents by using terms such as 'in duplicate', 'in two fold' or 'in two copies', this will be satisfied by the presentation of at least one original and the remaining number in copies, except when the document itself indicates otherwise."
Article 18,"Commercial Invoice: A commercial invoice; must appear to have been issued by the beneficiary (except as provided in article 38); must be made out in the name of the applicant (except as provided in sub-article 38 (g)); must be made out in the same currency as the credit; and need not be signed; A nominated bank acting on its nomination, a confirming bank, if any, or the issuing bank may accept a commercial invoice issued for an amount in excess of the amount permitted by the credit, and its decision will be binding upon all parties, provided the bank in question has not honoured or negotiated for an amount in excess of that permitted by the credit; The description of the goods, services or performance in a commercial invoice must correspond with that appearing in the credit."
Article 2,"Definitions: For the purpose of these rules: Advising bank means the bank that advises the credit at the request of the issuing bank. Applicant means the party on whose request the credit is issued. Banking day means a day on which a bank is regularly open at the place at which an act subject to these rules is to be performed. Beneficiary means the party in whose favour a credit is issued. Complying presentation means a presentation that is in accordance with the terms and conditions of the credit, the applicable provisions of these rules and international standard banking practice. Confirmation means a definite undertaking of the confirming bank, in addition to that of the issuing bank, to honour or negotiate a complying presentation. Confirming bank means the bank that adds its confirmation to a credit upon the issuing bank's authorization or request. Credit means any arrangement, however named or described, that is irrevocable and thereby constitutes a definite undertaking of the issuing bank to honour a complying presentation. Honour means: to pay at sight if the credit is available by sight payment; to incur a deferred payment undertaking and pay at maturity if the credit is available by deferred payment; to accept a bill of exchange ('draft') drawn by the beneficiary and pay at maturity if the credit is available by acceptance. Issuing bank means the bank that issues a credit at the request of an applicant or on its own behalf. Negotiation means the purchase by the nominated bank of drafts (drawn on a bank other than the nominated bank) and/or documents under a complying presentation, by advancing or agreeing to advance funds to the beneficiary on or before the banking day on which reimbursement is due to the nominated bank. Nominated Bank means the bank with which the credit is available or any bank in the case of a credit available with any bank. Presentation means either the delivery of documents under a credit to the issuing bank or nominated bank or the documents so delivered. Presenter means a beneficiary, bank or other party that makes a presentation."
